Campaign name,Ad set name,Ad name,Cost,Reach,Impressions,Link clicks,Post comments,Post reactions,Post Saves,Post shares,Three-second video views,Video watches at 100%,influ,funil,formato
__-_P_-_A_CONV_BL_-_-_CONV_CONVERSAO-SITE_21_7.12_31.12__CONVERSION_-,-_CONV_FB-IG_BL_-_-_CONV_CONVERSAO-SITE_CPM_TG_T039_PHOTOAD_PO_PO,VIDEO_KV-ANIMADO_7-10S_QUAD-VERT_VID_-_CONV_FB-IG_BL_-_-_CONV_CONVERSAO-SITE_CPM_TG_T039_VIDEO_PO_PO,"4325,72",0,1007910,6246,27,574,22,19,65386,19258,0,conversao,video 10s
_-always-on_Meta_Awareness_Social-Auction__NA_-always-on,LAMPCD5FGZ_Facebook_Display_Carousel_Interests_13-17-consumer-sem-interesses_AS_CPM_-always-on-awareness,Video_IG-Reel_-aon-danichoma_9x16_meta-awareness,"4317,88",1624691,5141215,10361,33,17737,4,3429,443984,43337,0,awareness,video reels
__-_P_-PIX_A_CONV_BL_-_-_CONV_TESTE-4_21_23.8_12.9__CONVERSION_-,-PIX_CONV_FB-IG_BL_-_-_CONV_MARCAS-VARIADAS_CPC_CA_BASE-SF-MARCAS_MULTIPLE_PO_PO,PHOTOAD_TORCIDA-COMAEGANHE_-_OTHERS_PPP_-PIX_CONV_FB-IG_BL_-_-_CONV_MARCAS-VARIADAS_CPC_CA_BASE-SF-MARCAS_MULTIPLE_PO_PO,"4312,59",250873,674246,1700,53,590,29,36,,,0,conversao,estático
__-_E-M_HALLOWEEN_A_BRAND_BL_-_-_BRAND_AWARENESS_21_20.1_31.1_BRANDING_AWARENESS_-,HALLOWEEN_BRAND_FB-IG_BL_-_-_BRAND_AWARENESS_CPM_TG_T106_PHOTOAD_PO_PO,PHOTOAD_BATALHA-FANTASIAS-1-_-_QUAD-VERT_PPP_HALLOWEEN_BRAND_FB-IG_BL_-_-_BRAND_AWARENESS_CPM_TG_T106_PHOTOAD_PO_PO,"4307,95",2690498,2702780,6,6,1764,22,11,,,0,awareness,estático
__-_P_-PIX_A_CONV_BL_-_-_CONV_CONVTESTE-3CEL1_21_4.8_19.8__CONVERSION,-PIX_CONV_FB-IG_BL_-_-_CONV_MARCAS-VARIADAS_CPC_CA_BASE-SF-ALL-BRANDS_MULTIPLE_PO_PO,PHOTOAD_TORCIDA-COMAEGANHE_-_OTHERS_PPP_-PIX_CONV_FB-IG_BL_-_-_CONV_MARCAS-VARIADAS_CPC_CA_BASE_SF_ALL_BRANDS_MULTIPLE_PO_PO,"4306,12",346870,696647,2358,106,1127,67,67,,,0,conversao,estático
__-_E-M_-AON_A_BRAND_BL_-_-_BRAND_AON-SETEMBRO_21_13.9_30.9_BRANDING_AWARENESS_-,-AON_BRAND_FB-IG_BL_-_-_BRAND_AON_CPM_TG_T011_STORIES_PO_PO,STORIES_COMPETICAO-DE-SABORES_-_QUAD-VERT_ST_-AON_BRAND_FB-IG_BL_-_-_BRAND_AON_CPM_TG_T011_STORIES_PO_PO,"4294,54",2137480,3463762,1687,,,,15,,,0,awareness,stories
__-_P_LIGA-DOS-SABORES_A_CONV_BL_-_-_CONV_CONVERSAO_21_1.4_31.5_CONVERSAO,LIGA-DOS-SABORES_CONV_FB-IG_BL_-_-_CONV_APRESENTACAO-SABORES_CPM_TG_T0006_VIDEO_PO_PO,CAROUSEL_PREMIOS_-_QUAD-VERT_CAR_LIGA-DOS-SABORES_CONV_FB-IG_BL_-_-_CONV_APRESENTACAO-SABORES_CPM_TG_T0006_CAROUSEL_PO_PO,"4292,25",842281,1019594,1523,12,918,93,58,40319,14255,0,conversao,carrosel
_equity_Meta_Awareness_Social-Auction_Equity_NA_-awareness,LAMPGAEFGG_Facebook_Multiple_Mixed_Interests_dia-dos-pais-agosto_SSNT_CPM_-awareness,Video_IG-Reel_dia-dos-pais-parceria-leopaidosbe_9x16_meta-awareness,"4285,58",1255678,1376312,4150,1,611,10,9,209319,3268,0,awareness,video reels
_-ucl_Meta_Awareness_Social-Auction__NA_-alcance,LAMPOM2D0I_Facebook_Multiple_Mixed_LaL_as-18a64-net-CDNA_SSNT_CPM_-ucl-awareness,Multiple_Mixed_-ucl-evergreen-player_10s_meta-awareness-LAL,"4285,23",1260806,1454652,919,,268,11,12,102161,18604,0,awareness,video 10s
-UEFA__Conversion_Social_NA_N/A_FB-RMKT,PBFS3VIR8_Facebook_Display_In-Feed_Audiencia_VIEWS_AS_Traffic_VIEWS,Display_Banner_PREMIOS_1x1,"4283,84",310140,604504,1185,13,614,13,16,,,0,conversao,display
__-_I_CACAUZERA-E-CHOCOBRANCO_A_VID_BL_-_-_VID_-_21_27.7_8.8_BRANDING_AWARENESS,CACAUZERA-E-CHOCOBRANCO_VID_IG_BL_-_-_VID_VIDEOS_CPM_TG_T013_VIDEO_IG_PO,VIDEO_BOLO-CANECA_11-15S_QUAD-VERT_VID_CACAUZERA-E-CHOCOBRANCO_VID_IG_BL_-_-_VID_VIDEOS_CPM_TG_T013_VIDEO_IG_PO,"4279,47",1738902,2618450,2,272,27984,4826,785,531820,87248,0,awareness,video 15s
Lollapalooza_NA_Awareness_Social-Auction_Equity_N/A_Melhores-Conteudos,PBFD72BCC_Facebook_Search-Display_Stories_Interests_Lolla_AS_NA_-,Search-Display_Stories_Lolla-Melhores-Conteudos_9x16_Stories-Produto,"4267,58",3111936,4715199,,,,,4,75855,34510,0,awareness,display
