Cost,Impressions,Link clicks,Comments,Reactions,Saves,Shares,Three-second video views,Video watches at 100%,influ,funnel,format,channel
14266.76,7527668,10084,,2367,60,14,,,0,awareness,estatico,meta
14243.43,9457788,6929,,1372,21,117,636004,114694,0,awareness,display,meta
14232.97,7493408,29605,,2613,,24,317396,20089,0,awareness,video,tiktok
14228.67,2104072,24431,,3358,507,450,,,0,conversao,estatico,meta
14222.2,9605732,17473,,1675,11,76,469576,241260,1,awareness,display,meta
14219.98,15513233,40498,,17,,16,,,0,awareness,display,twitter
14218.18,898805,8113,,4968,388,116,,,0,conversao,estatico,meta
14196.29,2734035,2420,,,,,1115197,451766,0,consideracao,video 30s,youtube
14173.99,9553078,15312,,3635,150,697,127046,35388,0,awareness,estatico,meta
14163.53,9450697,71399,,,,,213345,47981,0,awareness,display,youtube
14153.54,6394835,31298,970,9,,6,5618836,376817,0,awareness,display,twitter
14102.3,2500986,3504,,138886,2025,4234,,,0,awareness,estatico,meta
14069.49,8984040,9487,,1141,54,712,,,0,awareness,display,meta
14064.24,1204653,3586,,,,,598014,296017,0,awareness,video 30s,youtube
14061.9,10009191,19720,,18637,328,52,,,0,awareness,stories,meta
14051.51,5189361,15763,1113,12,,2,,,0,awareness,display,twitter
14036.26,3448365,16076,43,4738,,34,302959,38805,0,conversao,video 10s,tiktok
14034.03,949794,5409,1044,2,,1,,,1,awareness,texto,twitter
14025.54,1394455,13803,,6403,314,266,217686,33303,0,awareness,gif,meta
14023,2050077,2622,,,,117,145591,53239,0,awareness,stories,meta
14020.3,4205383,8220,,2099,52,22,252316,32365,0,awareness,display,meta
14019.7,4300831,62224,,0,,0,1018099,992749,0,conversao,video,tiktok
14001.21,2420884,18022,,2677,30,43,471020,2630,0,awareness,video,meta
13998.02,1596442,10063,,1774,59,170,434062,56010,0,awareness,video 30s,meta
13990.8,8959031,23356,738,9,,5,7342714,702634,0,awareness,video,twitter
13990.42,6878738,13848,,4356,126,34,382614,107915,0,awareness,video 10s,meta
13960.89,1150796,6146,,,,,427673,121587,0,awareness,video 10s,youtube
13957.31,3109342,27541,,1845,24,61,317447,120934,0,consideracao,video 6s,meta
13948.39,4632500,5968,,394,19,25,155726,42801,0,awareness,video 10s,meta
13927.75,3449220,1083,,,60,,1471216,473013,0,awareness,video 6s,pinterest
13906.25,8173661,13729,,1467,35,25,354909,143988,0,awareness,estatico,meta
13896.15,2347799,26783,,,,,1159430,565454,0,awareness,video,youtube
13892.6,7786954,39816,,10,,2,7791487,233810,0,awareness,video 20s,twitter
13866.3,1157799,2305,,1130,23,97,154998,22415,0,awareness,video 30s,meta
13857.45,5864965,4427,,,,,133119,121032,0,awareness,video,youtube
13821.74,7250803,42235,,3514,206,840,,,0,consideracao,display,meta
13814.55,2561196,10338,,4505,,75,256903,17906,0,conversao,video,tiktok
13753.6,7964102,40926,,3,,2,,,0,awareness,display,twitter
13751,4328881,27073,,7424,226,68,1232285,851306,0,awareness,bumper,meta
13750,13750694,20354,,25821,771,2614,1288640,48245,0,awareness,video,meta
13731.1,1013438,14086,,3128,127,99,79126,22088,0,awareness,gif,meta
13706.18,770092,3051,,4713,4,37,230213,24775,0,awareness,video 30s,meta
13696.95,1382764,987,,,,,794322,346324,0,consideracao,video 60s,youtube
13694.75,1099517,2165,,,,,534905,257022,0,consideracao,video 15s,youtube
13674.47,9814363,10490,,23329,401,310,1230033,390440,0,awareness,gif,meta
13660.7,2882870,10467,,4165,,56,271148,19940,0,conversao,video,tiktok
13643.61,1898289,2887,,,,,525246,145703,0,consideracao,video 15s,youtube
13641.92,880478,55347,,10,,,589917,199572,0,awareness,gif,meta
13634.6,642960,12492,,,,,500000,1630,0,awareness,video 30s,meta
13608.9,10143274,28674,,0,,0,0,0,0,conversao,video,tiktok
13607.11,8579394,10726,,6527,,195,649849,8682,1,awareness,video,meta
13603.59,4875371,9883,,3345,71,37,323973,40810,0,awareness,video 15s,meta
13540.99,3617992,14070,19,3867,,22,451495,15838,0,awareness,video,tiktok
13539.34,4097014,1497,,18866,,94,223385,6179,1,awareness,video 30s,meta
13530.52,11842608,70454,2285,18,,,10466608,1333302,0,consideracao,video 10s,twitter
13480.29,1976171,10450,,2857,92,28,750198,116566,0,consideracao,video 30s,meta
13456.6,4034886,15837,,1446,11,22,318715,175566,0,awareness,display,meta
13404.04,2997998,11333,,4172,,42,253487,19230,0,conversao,video,tiktok
13392.6,11011300,7204,,,,415,415499,145564,0,awareness,stories,meta
13357.06,5906818,8097,,1125,34,65,292712,55395,0,awareness,video 6s,meta
13353.43,5264644,6667,,766,21,6,,,0,awareness,carrossel,meta
13349.72,4142456,1646,,,,37,202025,33490,0,awareness,stories,meta
13334.11,1734418,13354,,4369,137,238,132634,26017,0,awareness,video 15s,meta
13327.5,1888168,6077,,,,,693767,80338,0,awareness,video,youtube
13322.23,949893,15973,102,80819,249,72,,,0,awareness,estatico,meta
13314.13,1107409,825,,,,,565688,289067,0,consideracao,video 30s,youtube
13280.15,13634238,15174,,3002,31,48,606998,279177,0,awareness,video 6s,meta
13278.46,2668472,20144,,5786,,48,332654,55479,0,consideracao,video 10s,tiktok
13269.91,5160028,8104,,3843,145,77,,,0,awareness,carrossel,meta
13267.05,3631865,13894,,3254,588,697,,,0,conversao,carrossel,meta
13262.54,9468252,13193,,3700,73,54,532201,124349,0,awareness,video 10s,meta
13246.39,4318101,5782,,1518,85,35,343380,67724,0,awareness,display,meta
13240.26,8388922,5626,,119,14,42,221875,73036,0,awareness,video 10s,meta
13229.15,5759009,7141,29,2062,,566,309080,59836,0,awareness,stories,meta
13224.41,7856981,14345,72,25143,12,304,1982540,103249,1,awareness,video 40s,meta
13214.24,1821531,4467,,,,,0,0,0,awareness,bumper,youtube
